nouns,verbs,adjectives,adverbs,pronouns,conjunctions,other
281,147,72,40,54,128,221
238,108,53,38,60,123,202
420,203,108,67,67,202,387
194,99,41,15,19,91,153
58,35,7,3,5,18,51
80,46,19,6,19,31,66
179,76,37,26,29,72,143
270,139,82,38,38,130,252
368,250,124,53,124,223,427
672,309,129,46,79,273,492
615,307,107,59,45,226,408
193,99,41,22,10,81,172
153,74,42,28,8,67,144
104,57,16,11,8,36,64
1790,1107,517,358,397,935,1650
391,196,75,52,75,189,343
435,228,85,60,60,196,349
164,83,30,19,29,74,110
662,149,83,39,32,162,464
100,68,25,20,33,42,98
113,62,47,15,22,66,100
137,49,11,5,6,36,90
54,58,21,14,26,31,61
171,117,34,19,48,69,119
296,145,50,17,24,155,241
247,105,81,33,25,133,223
199,82,30,8,25,77,165
140,93,41,28,19,68,143
284,155,33,13,51,140,206
2210,1116,512,273,508,1079,1983
164,134,46,29,57,89,160
418,165,120,60,35,194,341
421,234,95,43,48,210,400
562,281,130,78,59,274,469
402,224,65,43,54,181,343
617,316,157,75,87,327,492
1152,683,292,206,228,549,1081
1044,554,263,167,170,513,1081
190,72,23,15,26,81,137
277,159,73,46,46,177,276
176,93,56,40,21,81,180
235,135,93,50,44,125,217
212,117,33,17,37,97,160
54,34,14,21,18,21,49
189,64,28,9,6,57,113
378,149,74,32,31,174,262
212,93,43,26,26,98,169
421,24,27,0,0,2,95
157,60,31,16,8,59,129
145,74,30,11,10,53,99
297,179,98,38,35,164,284
205,52,42,7,13,84,132
120,68,29,12,13,57,76
26,5,3,0,0,6,15
214,213,77,37,84,133,251
76,33,19,12,14,29,52
524,211,124,69,45,254,451
426,310,118,121,74,252,506
596,367,152,102,117,311,585
375,194,116,63,44,205,385
17,14,5,2,7,4,23
449,220,85,49,57,212,407
174,21,27,6,4,20,174
221,107,78,31,47,125,235
248,121,41,19,28,94,134
620,303,114,38,87,276,460
124,67,18,22,23,43,95
120,47,20,7,12,43,76
67,41,16,5,12,35,53
423,254,128,66,84,210,421
1847,702,386,139,153,561,1043
126,62,26,10,15,59,105
607,311,102,46,116,235,434
482,225,121,45,33,211,373
288,126,63,29,17,132,260
122,92,27,19,38,72,142
